method,order,f1,f2,f3
lexicographic,f1 > f2 > f3,5.377937657242569,1031977889.0324339,15381.001072030216
lexicographic,f1 > f3 > f2,5.377937657242672,1032053397.0322882,49441.00094670343
lexicographic,f2 > f1 > f3,4403.021638217983,977641541.6666651,21184.92520905873
lexicographic,f2 > f3 > f1,4403.021637219238,977641541.6665634,21184.92515495998
lexicographic,f3 > f1 > f2,4921.6638649959195,1000576418.1203465,76888.94523213893
lexicographic,f3 > f2 > f1,4921.663882203483,1000576418.070961,76888.94523213891
